mls,home_type,status,address,city,zip,county,list_price,close_price,area,subdivision,market_area,school_dist_no,school_district,elementary,middle,high_school,bldg_sf,psf,psf_sold,year,bedrooms,full_baths,total_baths,fireplaces,stories,garages,style,dom
14257773,Rental,Sold,917 Main Street #601,Houston,77002,Harris,1250,1250,9,Part/Kirby Lofts Condo,Downtown - Houston,27,Houston,GREGORY-LINCOLN ELEMENTARY SCHOOL,GREGORY-LINCOLN MIDDLE SCHOOL,NORTHSIDE HIGH SCHOOL,420,2.98,2.98,1920,0,1,1,0,1,0,Contemporary/Modern,67
23350710,Rental,Sold,7901 Cambridge Street #84,Houston,77054,Harris,700,700,17,Park On Cambridge Condo,Medical Center Area,27,Houston,WHIDBY ELEMENTARY SCHOOL,CULLEN MIDDLE SCHOOL (HOUSTON),LAMAR HIGH SCHOOL (HOUSTON),420,1.67,1.67,1981,1,1,1,0,1,0,Traditional,86
57453728,Rental,Sold,7901 Cambridge Street #86,Houston,77054,Harris,675,675,17,Park On Cambridge Condo,Medical Center Area,27,Houston,WHIDBY ELEMENTARY SCHOOL,CULLEN MIDDLE SCHOOL (HOUSTON),LAMAR HIGH SCHOOL (HOUSTON),420,1.61,1.61,1981,1,1,1,0,1,0,Traditional,95
53969337,Rental,Sold,1756 W Main Street #13,Houston,77098,Harris,650,650,16,Lancaster Place Ext 03,Montrose,27,Houston,POE ELEMENTARY SCHOOL,LANIER MIDDLE SCHOOL,LAMAR HIGH SCHOOL (HOUSTON),420,1.55,1.55,1964,0,1,1,0,1,0,"Traditional, Victorian",56
11673355,Rental,Sold,309 Hutcheson Street #6,Houston,77003,Harris,850,850,4,Palmer Place,East End Revitalized,27,Houston,BURNET ELEMENTARY SCHOOL (HOUSTON),NAVARRO MIDDLE SCHOOL (HOUSTON),AUSTIN HIGH SCHOOL (HOUSTON),425,2,2,1930,0,1,1,0,2,0,"Traditional, Victorian",78
83530469,Rental,Sold,2016 Main Street #1510,Houston,77002,Harris,895,895,16,Main Condo 03 Amd,Midtown - Houston,27,Houston,GREGORY-LINCOLN ELEMENTARY SCHOOL,GREGORY-LINCOLN MIDDLE SCHOOL,LAMAR HIGH SCHOOL (HOUSTON),431,2.08,2.08,1965,0,1,1,0,1,1,Other Style,67
34233781,Rental,Sold,1311 Antoine Drive #184,Houston,77055,Harris,700,800,24,Woodvine Park Condominiums,Spring Branch,49,Spring Branch,HOUSMAN ELEMENTARY SCHOOL,SPRING BRANCH MIDDLE SCHOOL (SPRING BRANCH),MEMORIAL HIGH SCHOOL (SPRING BRANCH),432,1.62,1.85,1983,1,1,1,0,1,0,Traditional,79
62949981,Rental,Sold,1311 Antoine Drive #132,Houston,77055,Harris,795,775,24,Woodvine Park Condo Ph 02,Spring Branch,49,Spring Branch,HOUSMAN ELEMENTARY SCHOOL,SPRING BRANCH MIDDLE SCHOOL (SPRING BRANCH),MEMORIAL HIGH SCHOOL (SPRING BRANCH),432,1.84,1.79,1983,1,1,1,0,1,0,Traditional,8
34989305,Rental,Sold,1311 Antoine Drive #199,Houston,77055,Harris,1100,1000,24,Woodvine Park Condo Ph 03,Spring Branch,49,Spring Branch,HOUSMAN ELEMENTARY SCHOOL,SPRING BRANCH MIDDLE SCHOOL (SPRING BRANCH),MEMORIAL HIGH SCHOOL (SPRING BRANCH),432,2.55,2.31,1983,1,1,1,0,1,0,"Traditional, Victorian",47
81300370,Rental,Sold,4207 Driscoll Street #2,Houston,77098,Harris,900,900,16,Montlew Place,Montrose,27,Houston,POE ELEMENTARY SCHOOL,LANIER MIDDLE SCHOOL,LAMAR HIGH SCHOOL (HOUSTON),440,2.05,2.05,1935,1,1,1,0,1,0,"Traditional, Victorian",60
96219265,Rental,Sold,1110 E 24th Street #B,Houston,77009,Harris,1550,1550,9,Sunset Heights,Heights/Greater Heights,27,Houston,FIELD ELEMENTARY SCHOOL,HAMILTON MIDDLE SCHOOL (HOUSTON),HEIGHTS HIGH SCHOOL,440,3.52,3.52,2014,1,1,1,0,1,1,Traditional,25
77470522,Rental,Sold,2609 Stanford Street #G,Houston,77006,Harris,795,795,16,Avondale,Montrose,27,Houston,WILLIAM WHARTON K-8 DUAL LANGUAGE ACADEMY,GREGORY-LINCOLN MIDDLE SCHOOL,LAMAR HIGH SCHOOL (HOUSTON),441,1.8,1.8,1922,1,1,1,0,1,0,"Traditional, Victorian",18
91138730,Rental,Sold,938.5 Oxford Street,Houston,77008,Harris,1075,1075,9,Houston Heights,Heights/Greater Heights,27,Houston,HARVARD ELEMENTARY SCHOOL,HOGG MIDDLE SCHOOL (HOUSTON),HEIGHTS HIGH SCHOOL,450,2.39,2.39,1920,0,1,1,0,1,0,Traditional,98
72636145,Rental,Pending,1328 Bomar Street #15,Houston,77006,Harris,800,,16,STRATFORD,Montrose,27,Houston,WILLIAM WHARTON K-8 DUAL LANGUAGE ACADEMY,GREGORY-LINCOLN MIDDLE SCHOOL,LAMAR HIGH SCHOOL (HOUSTON),450,1.78,,1969,1,1,1,0,1,0,"Traditional, Victorian",70
3135053,Rental,Sold,2316 Hazard Street #1.5,Houston,77019,Harris,895,800,16,Plainview Sec 02,River Oaks Shopping Area,27,Houston,WOODROW WILSON MONTESSORI,LANIER MIDDLE SCHOOL,LAMAR HIGH SCHOOL (HOUSTON),450,1.99,1.78,1950,1,1,1,0,1,0,"Traditional, Victorian",19
78406130,Rental,Sold,1903 Commonwealth Street #2,Houston,77006,Harris,965,965,16,Hyde Park,Montrose,27,Houston,WOODROW WILSON MONTESSORI,LANIER MIDDLE SCHOOL,LAMAR HIGH SCHOOL (HOUSTON),450,2.14,2.14,1963,0,1,1,0,1,0,"Traditional, Victorian",33
97910840,Rental,Sold,1903 Commonwealth Street #3,Houston,77006,Harris,815,825,16,Hyde Park,Montrose,27,Houston,WOODROW WILSON MONTESSORI,LANIER MIDDLE SCHOOL,LAMAR HIGH SCHOOL (HOUSTON),450,1.81,1.83,1963,0,1,1,0,1,0,"Traditional, Victorian",49
45443559,Rental,Sold,1903 Commonwealth Street #3,Houston,77006,Harris,865,865,16,Hyde Park,Montrose,27,Houston,WOODROW WILSON MONTESSORI,LANIER MIDDLE SCHOOL,LAMAR HIGH SCHOOL (HOUSTON),450,1.92,1.92,1963,0,1,1,0,1,0,"Traditional, Victorian",23
35305002,Rental,Sold,1903 Commonwealth Street #14,Houston,77006,Harris,925,900,16,Hyde Park,Montrose,27,Houston,WOODROW WILSON MONTESSORI,LANIER MIDDLE SCHOOL,LAMAR HIGH SCHOOL (HOUSTON),450,2.06,2,1963,0,1,1,0,1,0,"Traditional, Victorian",36
55173341,Rental,Sold,1903 Commonwealth Street #16,Houston,77006,Harris,965,945,16,Hyde Park,Montrose,27,Houston,WOODROW WILSON MONTESSORI,LANIER MIDDLE SCHOOL,LAMAR HIGH SCHOOL (HOUSTON),450,2.14,2.1,1963,0,1,1,0,1,0,"Traditional, Victorian",36
61164168,Rental,Sold,4102 Caroline Street #1,Houston,77004,Harris,650,595,16,Kenilworth Grove,Midtown - Houston,27,Houston,MACGREGOR ELEMENTARY SCHOOL,GREGORY-LINCOLN MIDDLE SCHOOL,LAMAR HIGH SCHOOL (HOUSTON),450,1.44,1.32,1928,0,1,1,0,2,0,Georgian,21
14746851,Rental,Pending,4102 Caroline Street #8,Houston,77004,Harris,650,,16,Kenilworth Grove,Midtown - Houston,27,Houston,MACGREGOR ELEMENTARY SCHOOL,GREGORY-LINCOLN MIDDLE SCHOOL,LAMAR HIGH SCHOOL (HOUSTON),450,1.44,,1928,0,1,1,0,2,0,Georgian,130
71735842,Rental,Sold,811 Colquitt Street #4,Houston,77006,Harris,750,750,16,Lockhart Connor & Barziza,Montrose,27,Houston,MACGREGOR ELEMENTARY SCHOOL,GREGORY-LINCOLN MIDDLE SCHOOL,LAMAR HIGH SCHOOL (HOUSTON),450,1.67,1.67,1959,1,1,1,0,2,0,"Other Style, Traditional",46
75535633,Rental,Sold,4108 Caroline Street #5,Houston,77004,Harris,595,595,16,Kenilworth Grove,Midtown - Houston,27,Houston,MACGREGOR ELEMENTARY SCHOOL,GREGORY-LINCOLN MIDDLE SCHOOL,LAMAR HIGH SCHOOL (HOUSTON),450,1.32,1.32,1928,0,1,1,0,2,0,Traditional,107
44929762,Rental,Sold,2121 Fulton Street #1,Houston,77009,Harris,600,600,9,Allen A C,Northside,27,Houston,KETELSEN ELEMENTARY SCHOOL,MARSHALL MIDDLE SCHOOL,NORTHSIDE HIGH SCHOOL,450,1.33,1.33,1940,1,1,1,0,2,0,"Traditional, Victorian",57
91204457,Rental,Sold,606.5 E 8.5 Alley,Houston,77007,Harris,1200,1200,9,Heights,Heights/Greater Heights,27,Houston,HARVARD ELEMENTARY SCHOOL,HOGG MIDDLE SCHOOL (HOUSTON),HEIGHTS HIGH SCHOOL,450,2.67,2.67,2001,1,1,1,0,2,0,"Traditional, Victorian",63
90873313,Rental,Sold,1144 Nicholson Street,Houston,77008,Harris,950,950,9,Houston Heights Add,Heights/Greater Heights,27,Houston,LOVE ELEMENTARY SCHOOL,HOGG MIDDLE SCHOOL (HOUSTON),HEIGHTS HIGH SCHOOL,456,2.08,2.08,2012,1,1,1,0,2,1,Traditional,2
58361222,Rental,Option Pending,548 R Majestic Street,Houston,77020,Harris,825,,2,Denver,Denver Harbor,27,Houston,ELIOT ELEMENTARY SCHOOL,MCREYNOLDS MIDDLE SCHOOL,WHEATLEY HIGH SCHOOL,460,1.79,,1940,1,1,1,0,1,1,Traditional,13
36389821,Rental,Sold,2401 Crawford Street #A102,Houston,77004,Harris,1299,1299,16,Parc/Midtown Condo,Midtown - Houston,27,Houston,GREGORY-LINCOLN ELEMENTARY SCHOOL,GREGORY-LINCOLN MIDDLE SCHOOL,LAMAR HIGH SCHOOL (HOUSTON),468,2.78,2.78,2017,1,1,1,0,1,0,"Traditional, Victorian",38
77292468,Rental,Sold,214 W 17 Street #10,Houston,77008,Harris,800,800,9,Houston Heights,Heights/Greater Heights,27,Houston,HELMS ELEMENTARY SCHOOL,HAMILTON MIDDLE SCHOOL (HOUSTON),HEIGHTS HIGH SCHOOL,475,1.68,1.68,1960,0,1,1,0,2,0,"Traditional, Victorian",6
83797831,Rental,Sold,214 W 17 Street #24,Houston,77008,Harris,800,800,9,Houston Heights,Heights/Greater Heights,27,Houston,HELMS ELEMENTARY SCHOOL,HAMILTON MIDDLE SCHOOL (HOUSTON),HEIGHTS HIGH SCHOOL,475,1.68,1.68,1960,0,1,1,0,2,0,"Traditional, Victorian",10
21201387,Rental,Sold,1311 Antoine Drive #123,Houston,77055,Harris,800,800,24,Woodvine Park Condo Ph 02,Spring Branch,49,Spring Branch,HOUSMAN ELEMENTARY SCHOOL,SPRING BRANCH MIDDLE SCHOOL (SPRING BRANCH),MEMORIAL HIGH SCHOOL (SPRING BRANCH),480,1.67,1.67,1983,1,1,1,0,1,0,Traditional,148
49994900,Rental,Sold,3400 Timmons Lane #23,Houston,77027,Harris,825,825,16,Greenway Oaks Condo,Greenway Plaza,27,Houston,POE ELEMENTARY SCHOOL,LANIER MIDDLE SCHOOL,LAMAR HIGH SCHOOL (HOUSTON),480,1.72,1.72,1967,1,1,1,0,1,0,"Traditional, Victorian",51
17443283,Rental,Sold,5229 Mulford Street #2,Houston,77023,Harris,850,850,4,Lawndale,East End Revitalized,27,Houston,CARRILLO ELEMENTARY SCHOOL,NAVARRO MIDDLE SCHOOL (HOUSTON),AUSTIN HIGH SCHOOL (HOUSTON),480,1.77,1.77,1930,0,1,1,0,2,0,Traditional,53
61479030,Rental,Sold,4001 Watonga Boulevard #2707,Houston,77092,Harris,710,710,9,NA,Oak Forest West Area,27,Houston,SMITH ELEMENTARY SCHOOL (HOUSTON),BLACK MIDDLE SCHOOL,WALTRIP HIGH SCHOOL,480,1.48,1.48,1974,1,1,1,0,2,1,Traditional,20
91905480,Rental,Sold,4001 Watonga Boulevard #2710,Houston,77092,Harris,661,695,9,NA,Oak Forest West Area,27,Houston,SMITH ELEMENTARY SCHOOL (HOUSTON),BLACK MIDDLE SCHOOL,WALTRIP HIGH SCHOOL,480,1.38,1.45,1974,1,1,1,0,2,1,Traditional,21
59129577,Rental,Sold,4001 Watonga Boulevard #2717,Houston,77092,Harris,710,710,9,NA,Oak Forest West Area,27,Houston,SMITH ELEMENTARY SCHOOL (HOUSTON),BLACK MIDDLE SCHOOL,WALTRIP HIGH SCHOOL,480,1.48,1.48,1974,1,1,1,0,2,1,Traditional,0
32881769,Rental,Sold,4001 Watonga Boulevard #2718,Houston,77092,Harris,695,695,9,NA,Oak Forest West Area,27,Houston,SMITH ELEMENTARY SCHOOL (HOUSTON),BLACK MIDDLE SCHOOL,WALTRIP HIGH SCHOOL,480,1.45,1.45,1974,1,1,1,0,2,1,Traditional,7
36135527,Rental,Sold,4001 Watonga Boulevard #2719,Houston,77092,Harris,710,710,9,NA,Oak Forest West Area,27,Houston,SMITH ELEMENTARY SCHOOL (HOUSTON),BLACK MIDDLE SCHOOL,WALTRIP HIGH SCHOOL,480,1.48,1.48,1974,1,1,1,0,2,1,Traditional,57
3890164,Rental,Sold,4001 Watonga Boulevard #2720,Houston,77092,Harris,695,695,9,NA,Oak Forest West Area,27,Houston,SMITH ELEMENTARY SCHOOL (HOUSTON),BLACK MIDDLE SCHOOL,WALTRIP HIGH SCHOOL,480,1.45,1.45,1974,1,1,1,0,2,1,Traditional,7
35102951,Rental,Pending,4001 Watonga Boulevard #2725,Houston,77092,Harris,680,,9,NA,Oak Forest West Area,27,Houston,SMITH ELEMENTARY SCHOOL (HOUSTON),BLACK MIDDLE SCHOOL,WALTRIP HIGH SCHOOL,480,1.42,,1974,1,1,1,0,2,1,Traditional,86
3457341,Rental,Sold,4001 Watonga Boulevard #3203,Houston,77092,Harris,710,710,9,NA,Oak Forest West Area,27,Houston,SMITH ELEMENTARY SCHOOL (HOUSTON),BLACK MIDDLE SCHOOL,WALTRIP HIGH SCHOOL,480,1.48,1.48,1974,1,1,1,0,2,1,Traditional,70
38105081,Rental,Pending,4001 Watonga Boulevard #3206,Houston,77092,Harris,661,,9,NA,Oak Forest West Area,27,Houston,SMITH ELEMENTARY SCHOOL (HOUSTON),BLACK MIDDLE SCHOOL,WALTRIP HIGH SCHOOL,480,1.38,,1974,1,1,1,0,2,1,Traditional,26
88316619,Rental,Pending,4001 Watonga Boulevard #3211,Houston,77092,Harris,628,,9,NA,Oak Forest West Area,27,Houston,SMITH ELEMENTARY SCHOOL (HOUSTON),BLACK MIDDLE SCHOOL,WALTRIP HIGH SCHOOL,480,1.31,,1974,1,1,1,0,2,1,Traditional,36
76970307,Rental,Sold,4001 Watonga Boulevard #3213,Houston,77092,Harris,651,651,9,NA,Oak Forest West Area,27,Houston,SMITH ELEMENTARY SCHOOL (HOUSTON),BLACK MIDDLE SCHOOL,WALTRIP HIGH SCHOOL,480,1.36,1.36,1974,1,1,1,0,2,1,Traditional,57
76326131,Rental,Pending,4001 Watonga Boulevard #3217,Houston,77092,Harris,710,,9,NA,Oak Forest West Area,27,Houston,SMITH ELEMENTARY SCHOOL (HOUSTON),BLACK MIDDLE SCHOOL,WALTRIP HIGH SCHOOL,480,1.48,,1974,1,1,1,0,2,1,Traditional,26
10219409,Rental,Pending,4001 Watonga Boulevard #3221,Houston,77092,Harris,660,,9,NA,Oak Forest West Area,27,Houston,SMITH ELEMENTARY SCHOOL (HOUSTON),BLACK MIDDLE SCHOOL,WALTRIP HIGH SCHOOL,480,1.38,,1974,1,1,1,0,2,1,Traditional,72
94646284,Rental,Sold,4001 Watonga Boulevard #3223,Houston,77092,Harris,676,676,9,NA,Oak Forest West Area,27,Houston,SMITH ELEMENTARY SCHOOL (HOUSTON),BLACK MIDDLE SCHOOL,WALTRIP HIGH SCHOOL,480,1.41,1.41,1974,1,1,1,0,2,1,Traditional,115
15592450,Rental,Pending,4001 Watonga Boulevard #3224,Houston,77092,Harris,636,,9,NA,Oak Forest West Area,27,Houston,SMITH ELEMENTARY SCHOOL (HOUSTON),BLACK MIDDLE SCHOOL,WALTRIP HIGH SCHOOL,480,1.32,,1974,1,1,1,0,2,1,Traditional,26
11389859,Rental,Sold,145 Heights Boulevard #433,Houston,77007,Harris,990,990,16,Alta Heights Reserve A,Rice Military/Washington Corridor,27,Houston,MEMORIAL ELEMENTARY SCHOOL (HOUSTON),HOGG MIDDLE SCHOOL (HOUSTON),HEIGHTS HIGH SCHOOL,480,2.06,2.06,2012,0,1,1,0,4,1,"Traditional, Victorian",36
23979171,Rental,Sold,2502 Saltus Street #2,Houston,77003,Harris,900,850,4,Lubbock Grove,East End Revitalized,27,Houston,BURNET ELEMENTARY SCHOOL (HOUSTON),NAVARRO MIDDLE SCHOOL (HOUSTON),WHEATLEY HIGH SCHOOL,483,1.86,1.76,1948,1,1,1,0,2,1,Traditional,88
17554857,Rental,Sold,2016 Main Street #1011,Houston,77002,Harris,1100,1100,16,Main Condo 03 Amd,Midtown - Houston,27,Houston,GREGORY-LINCOLN ELEMENTARY SCHOOL,GREGORY-LINCOLN MIDDLE SCHOOL,LAMAR HIGH SCHOOL (HOUSTON),487,2.26,2.26,1965,0,1,1,0,1,1,"Traditional, Victorian",48
5049051,Rental,Sold,2016 Main Street #2011,Houston,77002,Harris,1100,1100,16,Main Condo 03 Amd,Midtown - Houston,27,Houston,GREGORY-LINCOLN ELEMENTARY SCHOOL,GREGORY-LINCOLN MIDDLE SCHOOL,LAMAR HIGH SCHOOL (HOUSTON),487,2.26,2.26,1965,0,1,1,0,1,1,"Traditional, Victorian",39
81431221,Rental,Sold,2802 Palm Street #B,Houston,77004,Harris,695,695,4,Lincoln Park,University Area,27,Houston,LOCKHART ELEMENTARY SCHOOL,CULLEN MIDDLE SCHOOL (HOUSTON),YATES HIGH SCHOOL,489,1.42,1.42,1938,1,1,1,1,3,2,Contemporary/Modern,40
40225572,Rental,Sold,7414 Capitol Street,Houston,77011,Harris,660,660,4,Schmoeller,East End Revitalized,27,Houston,BRISCOE ELEMENTARY SCHOOL,EDISON MIDDLE SCHOOL,AUSTIN HIGH SCHOOL (HOUSTON),494,1.34,1.34,1934,1,1,1,0,1,0,"Traditional, Victorian",19
29367757,Rental,Sold,5605 Robertson Street,Houston,77009,Harris,1050,1050,9,Lindale Park,Northside,27,Houston,JEFFERSON ELEMENTARY SCHOOL (HOUSTON),MARSHALL MIDDLE SCHOOL,NORTHSIDE HIGH SCHOOL,496,2.12,2.12,1942,1,1,1,0,2,1,"Traditional, Victorian",91
45637179,Rental,Sold,3803 Bute Street #3,Houston,77006,Harris,850,850,16,MONTROSE,Montrose,27,Houston,MACGREGOR ELEMENTARY SCHOOL,GREGORY-LINCOLN MIDDLE SCHOOL,LAMAR HIGH SCHOOL (HOUSTON),500,1.7,1.7,1955,0,1,1,0,1,0,Contemporary/Modern,2
67616690,Rental,Sold,230 W 27th Street #5,Houston,77008,Harris,895,895,9,Houston Heights,Heights/Greater Heights,27,Houston,HELMS ELEMENTARY SCHOOL,HAMILTON MIDDLE SCHOOL (HOUSTON),HEIGHTS HIGH SCHOOL,500,1.79,1.79,1941,1,1,1,0,1,0,Ranch,19
8920435,Rental,Sold,1111 Banks Street #5,Houston,77006,Harris,1200,1200,17,Turner N P,Rice/Museum District,27,Houston,POE ELEMENTARY SCHOOL,LANIER MIDDLE SCHOOL,LAMAR HIGH SCHOOL (HOUSTON),500,2.4,2.4,1994,1,1,1,0,1,0,Traditional,20
56058034,Rental,Sold,2100 Woodhead Street #301,Houston,77019,Harris,999,999,16,Hyde Park Main,River Oaks Shopping Area,27,Houston,WOODROW WILSON MONTESSORI,LANIER MIDDLE SCHOOL,LAMAR HIGH SCHOOL (HOUSTON),500,2,2,1964,0,1,1,0,1,0,Traditional,57
6532599,Rental,Sold,2100 Woodhead Street #302,Houston,77019,Harris,1280,1280,16,Hyde Park Main,River Oaks Shopping Area,27,Houston,WOODROW WILSON MONTESSORI,LANIER MIDDLE SCHOOL,LAMAR HIGH SCHOOL (HOUSTON),500,2.56,2.56,1964,0,1,1,0,1,0,Traditional,1
