mls,home_type,status,address,city,zip,county,list_price,area,subdivision,market_area,school_dist_no,school_district,elementary,middle,high_school,bldg_sf,psf,year,bedrooms,full_baths,total_baths,fireplaces,stories,garages,style,dom
69480685,Single-Family,Active,231 Delmar Street,Houston,77011,Harris,425000,4,Fullerton Place,East End Revitalized,27,Houston,BURNET ELEMENTARY SCHOOL (HOUSTON),NAVARRO MIDDLE SCHOOL (HOUSTON),AUSTIN HIGH SCHOOL (HOUSTON),1785,238.1,1909,2,1,1,0,1,1,Traditional,36
30534236,Single-Family,Active,4208 Lillian Street,Houston,77007,Harris,1100000,16,Magnolia,Rice Military/Washington Corridor,27,Houston,MEMORIAL ELEMENTARY SCHOOL (HOUSTON),HOGG MIDDLE SCHOOL (HOUSTON),HEIGHTS HIGH SCHOOL,1536,716.15,1910,3,1,1,0,1,0,Traditional,25
25356952,Single-Family,Active,1813 Hardy Street,Houston,77026,Harris,325000,9,Cascara,Northside,27,Houston,SHERMAN ELEMENTARY SCHOOL,MARSHALL MIDDLE SCHOOL,NORTHSIDE HIGH SCHOOL,1558,208.6,1910,3,1,1,0,1,0,Traditional,48
69045804,Single-Family,Active,419 E 24th Street,Houston,77008,Harris,1070000,9,Sunset Heights,Heights/Greater Heights,27,Houston,FIELD ELEMENTARY SCHOOL,HAMILTON MIDDLE SCHOOL (HOUSTON),HEIGHTS HIGH SCHOOL,3351,319.31,1910,3,3,3,1,2,3,"Other Style, Traditional, Victorian",236
98016450,Single-Family,Active,1612 Chestnut Street,Houston,77009,Harris,369000,9,Allen Add,Northside,27,Houston,SHERMAN ELEMENTARY SCHOOL,MARSHALL MIDDLE SCHOOL,NORTHSIDE HIGH SCHOOL,1672,220.69,1910,3,2,2,0,1,0,Other Style,222
43090467,Single-Family,Active,506 Willard Street,Houston,77006,Harris,699500,16,Cave E W,Montrose,27,Houston,WILLIAM WHARTON K-8 DUAL LANGUAGE ACADEMY,GREGORY-LINCOLN MIDDLE SCHOOL,LAMAR HIGH SCHOOL (HOUSTON),1440,485.76,1910,2,2,2,0,1,0,"Contemporary/Modern, Traditional",25
73792596,Single-Family,Active,1717 Hardy Street,Houston,77026,Harris,375000,9,Cascara,Northside,27,Houston,SHERMAN ELEMENTARY SCHOOL,MARSHALL MIDDLE SCHOOL,NORTHSIDE HIGH SCHOOL,1675,223.88,1910,3,2,2.1,0,1,0,Victorian,94
44343148,Single-Family,Active,1234 Harvard Street,Houston,77008,Harris,1799000,9,Houston Heights,Heights/Greater Heights,27,Houston,HARVARD ELEMENTARY SCHOOL,HOGG MIDDLE SCHOOL (HOUSTON),HEIGHTS HIGH SCHOOL,4090,439.85,1912,5,3,3.1,1,2,2,Traditional,5
43362778,Single-Family,Active,605 Hyde Park Boulevard,Houston,77006,Harris,899000,16,Fairview,Montrose,27,Houston,WILLIAM WHARTON K-8 DUAL LANGUAGE ACADEMY,GREGORY-LINCOLN MIDDLE SCHOOL,LAMAR HIGH SCHOOL (HOUSTON),2900,310,1912,3,3,3,2,2,0,Victorian,40
62952544,Single-Family,Active,1407 Indiana Street,Houston,77006,Harris,645000,16,Hyde Park,Montrose,27,Houston,WOODROW WILSON MONTESSORI,LANIER MIDDLE SCHOOL,LAMAR HIGH SCHOOL (HOUSTON),2032,317.42,1914,2,2,2,0,2,0,Traditional,18
10536297,Single-Family,Active,1707 Gano Street,Houston,77009,Harris,345000,9,Cascara,Northside,27,Houston,SHERMAN ELEMENTARY SCHOOL,MARSHALL MIDDLE SCHOOL,NORTHSIDE HIGH SCHOOL,2048,168.46,1915,3,2,2,0,1,0,Traditional,103
45359336,Single-Family,Active,2213 Lorraine Street,Houston,77026,Harris,170000,9,Gregg Sec 02,Northside,27,Houston,SHERMAN ELEMENTARY SCHOOL,FLEMING MIDDLE SCHOOL,NORTHSIDE HIGH SCHOOL,1468,115.8,1915,3,2,2,0,1,0,Traditional,40
9819395,Single-Family,Active,323 Westheimer Road,Houston,77006,Harris,1200000,16,Avondale,Montrose,27,Houston,MACGREGOR ELEMENTARY SCHOOL,GREGORY-LINCOLN MIDDLE SCHOOL,LAMAR HIGH SCHOOL (HOUSTON),2608,460.12,1915,3,1,1,1,2,0,Other Style,6
9627315,Single-Family,Active,1812 Everett Street,Houston,77009,Harris,525000,9,Allen A C,Northside,27,Houston,KETELSEN ELEMENTARY SCHOOL,MARSHALL MIDDLE SCHOOL,NORTHSIDE HIGH SCHOOL,1850,283.78,1915,3,2,2.1,1,2,1,"Other Style, Traditional, Victorian",141
39469515,Single-Family,Active,1210 Miramar Street,Houston,77006,Harris,715000,16,Rossmoyne,Montrose,27,Houston,POE ELEMENTARY SCHOOL,LANIER MIDDLE SCHOOL,LAMAR HIGH SCHOOL (HOUSTON),3851,185.67,1916,3,3,3.1,1,4,2,Traditional,161
67484845,Single-Family,Active,519 Allston Street,Houston,77007,Harris,395000,9,Houston Heights,Heights/Greater Heights,27,Houston,LOVE ELEMENTARY SCHOOL,HOGG MIDDLE SCHOOL (HOUSTON),HEIGHTS HIGH SCHOOL,1106,357.14,1916,3,1,1,0,1,0,Traditional,257
37451179,Single-Family,Active,4508 Rusk Street,Houston,77023,Harris,389000,4,Eastwood,East End Revitalized,27,Houston,LANTRIP ELEMENTARY SCHOOL,NAVARRO MIDDLE SCHOOL (HOUSTON),AUSTIN HIGH SCHOOL (HOUSTON),1208,322.02,1918,2,2,2,1,1,2,Other Style,36
49490691,Single-Family,Active,3704 Engelke Street,Houston,77003,Harris,535000,4,Merkels Sec 01,East End Revitalized,27,Houston,BURNET ELEMENTARY SCHOOL (HOUSTON),NAVARRO MIDDLE SCHOOL (HOUSTON),AUSTIN HIGH SCHOOL (HOUSTON),792,675.51,1919,2,1,1,0,1,0,Traditional,70
68500107,Single-Family,Active,203 Lockwood Drive ,Houston,77011,Harris,300000,4,Oak Lawn,East End Revitalized,27,Houston,BURNET ELEMENTARY SCHOOL (HOUSTON),NAVARRO MIDDLE SCHOOL (HOUSTON),AUSTIN HIGH SCHOOL (HOUSTON),1800,166.67,1919,5,2,2,0,2,0,Traditional,33
92302330,Single-Family,Active,4113 Allen Street,Houston,77007,Harris,995000,16,Magnolia,Rice Military/Washington Corridor,27,Houston,MEMORIAL ELEMENTARY SCHOOL (HOUSTON),HOGG MIDDLE SCHOOL (HOUSTON),HEIGHTS HIGH SCHOOL,2032,489.67,1920,4,2,2,0,1,0,Traditional,18
37210122,Single-Family,Active,707 E 28th Street,Houston,77009,Harris,850000,9,Sunset Heights,Heights/Greater Heights,27,Houston,FIELD ELEMENTARY SCHOOL,HAMILTON MIDDLE SCHOOL (HOUSTON),HEIGHTS HIGH SCHOOL,990,858.59,1920,4,2,2,0,1,0,Other Style,377
54400964,Single-Family,Active,1421 Waverly Street,Houston,77008,Harris,1449000,9,Houston Heights,Heights/Greater Heights,27,Houston,LOVE ELEMENTARY SCHOOL,HAMILTON MIDDLE SCHOOL (HOUSTON),HEIGHTS HIGH SCHOOL,3570,405.88,1920,5,4,4,1,2,2,Traditional,97
3465776,Single-Family,Active,406 Oriole Street,Houston,77018,Harris,279995,9,Oriole Place,Northwest Houston,27,Houston,KENNEDY ELEMENTARY SCHOOL (HOUSTON),WILLIAMS MIDDLE SCHOOL,WASHINGTON HIGH SCHOOL,1050,266.66,1920,3,1,1,0,1,1,Other Style,88
13398913,Single-Family,Active,3312 Beauchamp Street,Houston,77009,Harris,725000,9,Woodland Heights,Heights/Greater Heights,27,Houston,TRAVIS ELEMENTARY SCHOOL (HOUSTON),HOGG MIDDLE SCHOOL (HOUSTON),HEIGHTS HIGH SCHOOL,2198,329.85,1920,2,1,1,0,2,0,Victorian,77
37919404,Single-Family,Active,14013 Sellers Road,Houston,77060,Harris,129900,34,Oak Glen Place Sec 01,Aldine Area,1,Aldine,BUSSEY ELEMENTARY SCHOOL,GRANTHAM ACADEMY,ALDINE HIGH SCHOOL,1297,100.15,1920,3,1,1.1,0,1,0,Traditional,78
25541252,Single-Family,Active,3419 Houston Ave ,Houston,77009,Harris,650000,9,Woodland Baptist,Heights/Greater Heights,27,Houston,TRAVIS ELEMENTARY SCHOOL (HOUSTON),HOGG MIDDLE SCHOOL (HOUSTON),HEIGHTS HIGH SCHOOL,1643,395.62,1920,3,2,2,0,1,2,Victorian,524
56940988,Single-Family,Active,1817 Cortlandt Street,Houston,77008,Harris,1674900,9,Houston Heights,Heights/Greater Heights,27,Houston,FIELD ELEMENTARY SCHOOL,HAMILTON MIDDLE SCHOOL (HOUSTON),HEIGHTS HIGH SCHOOL,4082,410.31,1920,4,4,4.1,1,2,2,Traditional,12
72696128,Single-Family,Active,1625 Harvard Street,Houston,77008,Harris,987000,9,Houston Heights,Heights/Greater Heights,27,Houston,FIELD ELEMENTARY SCHOOL,HAMILTON MIDDLE SCHOOL (HOUSTON),HEIGHTS HIGH SCHOOL,1971,500.76,1920,3,2,2,1,1,0,Traditional,11
28364857,Single-Family,Active,916 Cortlandt Street,Houston,77008,Harris,915000,9,Houston Heights,Heights/Greater Heights,27,Houston,HARVARD ELEMENTARY SCHOOL,HOGG MIDDLE SCHOOL (HOUSTON),HEIGHTS HIGH SCHOOL,1925,475.32,1920,3,2,2,0,1,2,Traditional,20
76679839,Single-Family,Active,7119 Palestine Street,Houston,77020,Harris,98450,2,Liberty Heights Sec 04,Denver Harbor,27,Houston,MARTINEZ R ELEMENTARY SCHOOL,MCREYNOLDS MIDDLE SCHOOL,WHEATLEY HIGH SCHOOL,628,156.77,1920,2,1,1,0,1,1,Other Style,41
24527943,Single-Family,Active,122 Redan Street,Houston,77009,Harris,599900,9,Stinde 1,Heights/Greater Heights,27,Houston,TRAVIS ELEMENTARY SCHOOL (HOUSTON),HOGG MIDDLE SCHOOL (HOUSTON),HEIGHTS HIGH SCHOOL,1314,456.54,1920,5,4,4,0,1,1,"Other Style, Ranch",538
87676912,Single-Family,Active,739 E 13th 1/2 Street,Houston,77008,Harris,659000,9,Kutschbach,Heights/Greater Heights,27,Houston,FIELD ELEMENTARY SCHOOL,HOGG MIDDLE SCHOOL (HOUSTON),HEIGHTS HIGH SCHOOL,1694,389.02,1920,3,2,2,1,1,2,Traditional,56
91608976,Single-Family,Active,1410 Bonnie Brae Street,Houston,77006,Harris,825000,16,Castle Court,Montrose,27,Houston,POE ELEMENTARY SCHOOL,LANIER MIDDLE SCHOOL,LAMAR HIGH SCHOOL (HOUSTON),2665,309.57,1920,4,3,3,1,2,2,Traditional,39
13230816,Single-Family,Active,111 E 27th Street,Houston,77008,Harris,500000,9,Sunset Heights,Heights/Greater Heights,27,Houston,HELMS ELEMENTARY SCHOOL,HAMILTON MIDDLE SCHOOL (HOUSTON),HEIGHTS HIGH SCHOOL,912,548.25,1920,2,1,1,0,1,0,Other Style,435
76709251,Single-Family,Active,2515 Link Road,Houston,77009,Harris,259000,9,Sunset Heights,Heights/Greater Heights,27,Houston,FIELD ELEMENTARY SCHOOL,HAMILTON MIDDLE SCHOOL (HOUSTON),HEIGHTS HIGH SCHOOL,683,379.21,1920,1,1,1.1,0,1,0,Traditional,6
64691784,Single-Family,Active,711 Key Street,Houston,77009,Harris,900000,9,East Norhill,Heights/Greater Heights,27,Houston,TRAVIS ELEMENTARY SCHOOL (HOUSTON),HOGG MIDDLE SCHOOL (HOUSTON),HEIGHTS HIGH SCHOOL,2738,328.71,1920,3,2,2.1,1,2,1,Traditional,1
85952994,Single-Family,Active,1105 E 29th Street,Houston,77009,Harris,325000,9,Sunset Heights Sec 02 Ext,Heights/Greater Heights,27,Houston,FIELD ELEMENTARY SCHOOL,HAMILTON MIDDLE SCHOOL (HOUSTON),HEIGHTS HIGH SCHOOL,832,390.62,1920,2,1,1,0,1,1,Other Style,102
28933694,Single-Family,Active,1305 Arlington Street,Houston,77008,Harris,609000,9,Houston Heights,Heights/Greater Heights,27,Houston,FIELD ELEMENTARY SCHOOL,HOGG MIDDLE SCHOOL (HOUSTON),HEIGHTS HIGH SCHOOL,1115,546.19,1920,3,2,2,0,1,2,Ranch,82
72988216,Single-Family,Active,4808 Oakland Street,Houston,77023,Harris,319900,4,Muller,East End Revitalized,27,Houston,CAGE ELEMENTARY SCHOOL,NAVARRO MIDDLE SCHOOL (HOUSTON),AUSTIN HIGH SCHOOL (HOUSTON),984,325.1,1920,2,1,1,1,1,0,Traditional,192
81130700,Single-Family,Active,612 Cordell Street,Houston,77009,Harris,815000,9,Brooke Smith,Heights/Greater Heights,27,Houston,BROWNING ELEMENTARY SCHOOL,HOGG MIDDLE SCHOOL (HOUSTON),HEIGHTS HIGH SCHOOL,2729,298.64,1920,3,3,3,1,2,2,Traditional,10
28051279,Single-Family,Active,912 Northwood Street,Houston,77009,Harris,600000,9,Brooke Smith,Heights/Greater Heights,27,Houston,BROWNING ELEMENTARY SCHOOL,HOGG MIDDLE SCHOOL (HOUSTON),HEIGHTS HIGH SCHOOL,2296,261.32,1920,4,3,3,0,1,0,Traditional,11
47012860,Single-Family,Active,1513 Ovid Street,Houston,77007,Harris,688000,9,Fritz,Washington East/Sabine,27,Houston,CROCKETT ELEMENTARY SCHOOL (HOUSTON),HOGG MIDDLE SCHOOL (HOUSTON),HEIGHTS HIGH SCHOOL,1750,393.14,1920,4,2,2.1,0,1,0,Traditional,25
39356799,Single-Family,Active,1408 Studewood Street,Houston,77008,Harris,475000,9,North Norhill,Heights/Greater Heights,27,Houston,FIELD ELEMENTARY SCHOOL,HOGG MIDDLE SCHOOL (HOUSTON),HEIGHTS HIGH SCHOOL,1328,357.68,1920,2,2,2,1,1,1,Traditional,56
67098989,Single-Family,Active,1039 W Cavalcade Street,Houston,77009,Harris,450000,9,Stude Sec1,Heights/Greater Heights,27,Houston,FIELD ELEMENTARY SCHOOL,HOGG MIDDLE SCHOOL (HOUSTON),HEIGHTS HIGH SCHOOL,1224,367.65,1920,3,1,1,0,1,0,Traditional,1
10836436,Single-Family,Active,1924 Gano Street,Houston,77009,Harris,315000,9,Cascara,Northside,27,Houston,SHERMAN ELEMENTARY SCHOOL,MARSHALL MIDDLE SCHOOL,NORTHSIDE HIGH SCHOOL,1200,262.5,1920,3,2,2,0,1,0,Other Style,132
5449731,Single-Family,Active,623 Bayland Avenue,Houston,77009,Harris,685000,9,Woodland Heights,Heights/Greater Heights,27,Houston,TRAVIS ELEMENTARY SCHOOL (HOUSTON),HOGG MIDDLE SCHOOL (HOUSTON),HEIGHTS HIGH SCHOOL,1180,580.51,1920,2,1,1,0,1,2,Ranch,549
75239051,Single-Family,Active,1709 California Street,Houston,77006,Harris,574900,16,Cherryhurst,Montrose,27,Houston,WOODROW WILSON MONTESSORI,LANIER MIDDLE SCHOOL,LAMAR HIGH SCHOOL (HOUSTON),1050,547.52,1920,2,1,1,0,1,0,Traditional,69
89659628,Single-Family,Active,210 Archer Street,Houston,77009,Harris,450000,9,Brooke Smith,Heights/Greater Heights,27,Houston,TRAVIS ELEMENTARY SCHOOL (HOUSTON),HOGG MIDDLE SCHOOL (HOUSTON),HEIGHTS HIGH SCHOOL,1001,449.55,1920,2,2,2,0,1,0,Traditional,73
86588417,Single-Family,Active,3402 Morrison Street,Houston,77009,Harris,825000,9,Woodland Heights,Heights/Greater Heights,27,Houston,TRAVIS ELEMENTARY SCHOOL (HOUSTON),HOGG MIDDLE SCHOOL (HOUSTON),HEIGHTS HIGH SCHOOL,1959,421.13,1920,3,3,3,0,2,2,Traditional,11
14816884,Single-Family,Active,605 Cottage Street,Houston,77009,Harris,399999,9,Woodland Court,Heights/Greater Heights,27,Houston,TRAVIS ELEMENTARY SCHOOL (HOUSTON),HOGG MIDDLE SCHOOL (HOUSTON),HEIGHTS HIGH SCHOOL,2308,173.31,1920,5,3,3,0,2,0,Traditional,11
95103832,Single-Family,Active,2616 Columbia Street,Houston,77008,Harris,499000,9,Sunset Heights Add,Heights/Greater Heights,27,Houston,FIELD ELEMENTARY SCHOOL,HAMILTON MIDDLE SCHOOL (HOUSTON),HEIGHTS HIGH SCHOOL,1132,440.81,1920,2,2,2,0,1,1,Traditional,33
37158853,Single-Family,Active,417 W 13th Street,Houston,77008,Harris,619000,9,Houston Heights,Heights/Greater Heights,27,Houston,LOVE ELEMENTARY SCHOOL,HAMILTON MIDDLE SCHOOL (HOUSTON),HEIGHTS HIGH SCHOOL,1390,445.32,1920,2,2,2,0,2,1,Traditional,1
65537254,Single-Family,Active,601 Cottage Street,Houston,77009,Harris,749900,9,Woodland Court,Heights/Greater Heights,27,Houston,TRAVIS ELEMENTARY SCHOOL (HOUSTON),HOGG MIDDLE SCHOOL (HOUSTON),HEIGHTS HIGH SCHOOL,3661,204.83,1920,4,3,3.1,1,3,1,Contemporary/Modern,538
54826100,Single-Family,Active,2902 Houston Avenue,Houston,77009,Harris,724999,9,Grota Home,Heights/Greater Heights,27,Houston,TRAVIS ELEMENTARY SCHOOL (HOUSTON),HOGG MIDDLE SCHOOL (HOUSTON),HEIGHTS HIGH SCHOOL,2288,316.87,1920,3,2,2.1,0,1,0,Traditional,11
49855048,Single-Family,Active,1202 Common Park Drive,Houston,77009,Harris,165000,9,Couch Park Sec 02,Northside,27,Houston,KETELSEN ELEMENTARY SCHOOL,MARSHALL MIDDLE SCHOOL,NORTHSIDE HIGH SCHOOL,1130,146.02,1920,3,1,1,0,1,0,Traditional,33
43186556,Single-Family,Active,105 E 14th Street ,Houston,77008,Harris,739000,9,Houston Heights,Heights/Greater Heights,27,Houston,FIELD ELEMENTARY SCHOOL,HAMILTON MIDDLE SCHOOL (HOUSTON),HEIGHTS HIGH SCHOOL,2069,357.18,1920,3,2,2.1,1,2,0,Traditional,42
10140559,Mid/Hi-Rise Condo,Active,917 Main Street #604,Houston,77002,Harris,347500,9,Kirby Lofts Condo,Downtown - Houston,27,Houston,GREGORY-LINCOLN ELEMENTARY SCHOOL,GREGORY-LINCOLN MIDDLE SCHOOL,NORTHSIDE HIGH SCHOOL,1583,219.52,1920,2,2,2,0,1,0,Other Style,165
29285622,Mid/Hi-Rise Condo,Active,917 Main Street #1101,Houston,77002,Harris,254000,9,Kirby Lofts Condo,Downtown - Houston,27,Houston,GREGORY-LINCOLN ELEMENTARY SCHOOL,GREGORY-LINCOLN MIDDLE SCHOOL,NORTHSIDE HIGH SCHOOL,1130,224.78,1920,2,2,2,0,1,0,Other Style,36
30121517,Mid/Hi-Rise Condo,Active,917 Main Street #603,Houston,77002,Harris,225000,9,Kirby Lofts Condo,Downtown - Houston,27,Houston,GREGORY-LINCOLN ELEMENTARY SCHOOL,GREGORY-LINCOLN MIDDLE SCHOOL,NORTHSIDE HIGH SCHOOL,961,234.13,1920,1,1,1,0,1,0,Other Style,95
27253216,Single-Family,Active,2 Longfellow Lane,Houston,77005,Harris,10900000,17,Shadyside,Rice/Museum District,27,Houston,POE ELEMENTARY SCHOOL,LANIER MIDDLE SCHOOL,LAMAR HIGH SCHOOL (HOUSTON),12808,851.03,1921,5,6,6.3,7,2,3,"English, Georgian, Other Style, Traditional",152
26157316,Townhouse/Condo,Active,705 Main Street #511,Houston,77002,Harris,149900,9,St Germain Condos,Downtown - Houston,27,Houston,GREGORY-LINCOLN ELEMENTARY SCHOOL,GREGORY-LINCOLN MIDDLE SCHOOL,NORTHSIDE HIGH SCHOOL,557,269.12,1921,1,1,1,0,1,1,Contemporary/Modern,48
69311176,Townhouse/Condo,Active,705 Main Street Street #610,Houston,77002,Harris,175000,9,St Germain Condos,Downtown - Houston,27,Houston,GREGORY-LINCOLN ELEMENTARY SCHOOL,GREGORY-LINCOLN MIDDLE SCHOOL,NORTHSIDE HIGH SCHOOL,519,337.19,1921,0,1,1,0,1,1,Traditional,22
11008681,Mid/Hi-Rise Condo,Active,705 Main Street #802,Houston,77002,Harris,499000,9,St Germain Condos,Downtown - Houston,27,Houston,GREGORY-LINCOLN ELEMENTARY SCHOOL,GREGORY-LINCOLN MIDDLE SCHOOL,NORTHSIDE HIGH SCHOOL,2376,210.02,1921,2,2,2,0,1,0,Other Style,5
43738633,Mid/Hi-Rise Condo,Active,705 Main Street #209,Houston,77002,Harris,325000,9,St Germain Condos,Downtown - Houston,27,Houston,GREGORY-LINCOLN ELEMENTARY SCHOOL,GREGORY-LINCOLN MIDDLE SCHOOL,NORTHSIDE HIGH SCHOOL,1764,184.24,1921,2,2,2,0,1,0,Other Style,39
76000821,Mid/Hi-Rise Condo,Active,705 Main Street #709,Houston,77002,Harris,299000,9,St Germain Condos,Downtown - Houston,27,Houston,GREGORY-LINCOLN ELEMENTARY SCHOOL,GREGORY-LINCOLN MIDDLE SCHOOL,NORTHSIDE HIGH SCHOOL,948,315.4,1921,1,1,1,0,1,0,Other Style,71
67267041,Mid/Hi-Rise Condo,Active,705 Main Street #501,Houston,77002,Harris,229500,9,St Germain Condos,Downtown - Houston,27,Houston,GREGORY-LINCOLN ELEMENTARY SCHOOL,GREGORY-LINCOLN MIDDLE SCHOOL,NORTHSIDE HIGH SCHOOL,906,253.31,1921,1,1,1,0,1,0,Other Style,164
81766217,Mid/Hi-Rise Condo,Active,705 Main Street #414,Houston,77002,Harris,179000,9,St Germain Condos,Downtown - Houston,27,Houston,GREGORY-LINCOLN ELEMENTARY SCHOOL,GREGORY-LINCOLN MIDDLE SCHOOL,NORTHSIDE HIGH SCHOOL,850,210.59,1921,0,1,1,0,1,0,Other Style,102
23475094,Mid/Hi-Rise Condo,Active,705 Main Street #321,Houston,77002,Harris,205000,9,St Germain Condos,Downtown - Houston,27,Houston,GREGORY-LINCOLN ELEMENTARY SCHOOL,GREGORY-LINCOLN MIDDLE SCHOOL,NORTHSIDE HIGH SCHOOL,797,257.21,1921,1,1,1,0,1,0,Other Style,80
11742852,Mid/Hi-Rise Condo,Active,705 Main Street #705,Houston,77002,Harris,185000,9,St Germain Condos,Downtown - Houston,27,Houston,GREGORY-LINCOLN ELEMENTARY SCHOOL,GREGORY-LINCOLN MIDDLE SCHOOL,NORTHSIDE HIGH SCHOOL,709,260.93,1921,0,1,1,0,1,0,Other Style,144
11080613,Mid/Hi-Rise Condo,Active,705 Main Street #406,Houston,77002,Harris,150000,9,St Germain Condos,Downtown - Houston,27,Houston,GREGORY-LINCOLN ELEMENTARY SCHOOL,GREGORY-LINCOLN MIDDLE SCHOOL,NORTHSIDE HIGH SCHOOL,709,211.57,1921,1,1,1,0,1,0,Other Style,15
67569785,Mid/Hi-Rise Condo,Active,705 Main Street #611,Houston,77002,Harris,148500,9,St Germain Condos,Downtown - Houston,27,Houston,GREGORY-LINCOLN ELEMENTARY SCHOOL,GREGORY-LINCOLN MIDDLE SCHOOL,NORTHSIDE HIGH SCHOOL,560,265.18,1921,1,1,1,0,1,0,Other Style,14
38257235,Single-Family,Active,1420 Alexander Street,Houston,77008,Harris,595000,9,Houston Heights Annex,Heights/Greater Heights,27,Houston,LOVE ELEMENTARY SCHOOL,HAMILTON MIDDLE SCHOOL (HOUSTON),HEIGHTS HIGH SCHOOL,2792,213.11,1922,3,2,2,0,1,0,Traditional,96
11899111,Townhouse/Condo,Active,2323 Polk Street #306,Houston,77003,Harris,425000,4,Promenade Place Flr 3,East End Revitalized,27,Houston,LANTRIP ELEMENTARY SCHOOL,NAVARRO MIDDLE SCHOOL (HOUSTON),WHEATLEY HIGH SCHOOL,1877,226.43,1923,2,2,2,0,2,2,Contemporary/Modern,227
95031773,Townhouse/Condo,Active,2323 Polk Street #101,Houston,77003,Harris,225000,4,Promenade Place,East End Revitalized,27,Houston,LANTRIP ELEMENTARY SCHOOL,NAVARRO MIDDLE SCHOOL (HOUSTON),WHEATLEY HIGH SCHOOL,805,279.5,1923,1,1,1,0,1,2,Contemporary/Modern,24
46877417,Mid/Hi-Rise Condo,Active,2323 Polk Street #201,Houston,77003,Harris,274000,4,Promenade Place Flr 2,East End Revitalized,27,Houston,LANTRIP ELEMENTARY SCHOOL,NAVARRO MIDDLE SCHOOL (HOUSTON),WHEATLEY HIGH SCHOOL,1333,205.55,1923,1,1,1.1,0,1,0,Other Style,113
91346220,Mid/Hi-Rise Condo,Active,2323 Polk Street #104,Houston,77003,Harris,285000,4,Promenade Place,East End Revitalized,27,Houston,LANTRIP ELEMENTARY SCHOOL,NAVARRO MIDDLE SCHOOL (HOUSTON),WHEATLEY HIGH SCHOOL,1312,217.23,1923,2,2,2,0,1,0,Other Style,9
